id,title,GW,xG,xGA,npxG,npxGA,att,def,att,def,deep,deep_allowed,GF,GA,xpts,wins,draws,loses,pts,npxGD
,Bayer Leverkusen,12,3.96943,1.25233,3.96943,1.25233,137,20,394,20,7,4,1,1,2.7985999999999995,0,1,0,1,2.7171000000000003,
,Bayer Leverkusen,13,1.44804,2.24624,1.44804,2.24624,410,20,129,28,3,16,2,1,0.8864,1,0,0,3,-0.7981999999999998,
,Bayer Leverkusen,14,3.0351,0.9976,3.0351,0.9976,199,34,279,36,9,2,2,1,2.6256000000000004,1,0,0,3,2.0374999999999996,
,Bayer Leverkusen,15,0.226408,1.94644,0.226408,1.94644,214,26,408,35,7,4,0,2,0.1933,0,0,1,0,-1.720032,
,Bayer Leverkusen,16,1.32267,1.51156,1.32267,1.51156,138,24,423,25,6,1,0,1,1.199,0,0,1,0,-0.18889,
,Bayer Leverkusen,17,1.55537,2.49346,1.55537,2.49346,166,30,305,21,5,7,1,0,0.7742,1,0,0,3,-0.9380899999999999,
,Bayer Leverkusen,18,2.17277,1.3828,2.17277,1.3828,216,27,463,36,6,2,4,1,1.9499000000000002,1,0,0,3,0.7899699999999998,
,Bayer Leverkusen,19,4.50128,0.710981,3.74351,0.710981,145,22,377,26,13,4,3,0,2.9356,1,0,0,3,3.0325290000000003,
,Bayer Leverkusen,20,3.11718,2.58436,3.11718,2.58436,132,25,309,27,12,7,1,2,1.7329,0,0,1,0,0.5328199999999996,
,Bayer Leverkusen,21,1.10259,0.882241,1.10259,0.882241,300,30,349,32,4,9,4,3,1.5502,1,0,0,3,0.2203489999999999,
,Bayer Leverkusen,22,1.55179,2.02125,1.55179,2.02125,131,20,323,40,7,5,3,2,1.0369000000000002,1,0,0,3,-0.4694600000000002,
,Bayer Leverkusen,23,1.16763,0.683426,1.16763,0.683426,130,21,587,30,8,3,2,0,1.7921999999999998,1,0,0,3,0.48420399999999997,
,Bayer Leverkusen,24,1.16579,0.934157,1.16579,0.934157,236,21,470,32,4,10,1,1,1.5110000000000001,0,1,0,1,0.2316330000000001,
,Bayer Leverkusen,25,2.60789,1.10478,2.60789,1.10478,215,24,432,39,6,4,4,0,2.4554,1,0,0,3,1.5031099999999997,
,Bayer Leverkusen,26,2.8843,0.877237,2.8843,0.877237,261,24,466,27,11,3,4,1,2.6319999999999997,1,0,0,3,2.007063,
,Bayer Leverkusen,27,3.46649,2.273,2.70896,2.273,245,26,320,32,5,6,3,1,2.1722,1,0,0,3,0.4359599999999997,
,Bayer Leverkusen,28,1.3302,2.99484,1.3302,2.99484,130,14,430,26,5,5,1,4,0.4143,0,0,1,0,-1.66464,
,Bayer Leverkusen,29,0.394085,0.68733,0.394085,0.68733,171,22,447,14,7,2,1,0,0.9716,1,0,0,3,-0.293245,
,Bayer Leverkusen,30,0.768558,2.6513,0.768558,2.6513,389,31,352,31,3,11,2,4,0.3065,0,0,1,0,-1.882742,
,Bayer Leverkusen,31,0.889455,1.47429,0.889455,0.716517,130,28,491,27,6,2,1,1,0.7954000000000001,0,1,0,1,0.17293800000000004,
,Bayer Leverkusen,32,2.18555,0.531542,2.18555,0.531542,154,17,439,26,7,1,3,1,2.5528,1,0,0,3,1.6540080000000001,
,Bayer Leverkusen,33,0.679286,2.3555,0.679286,2.3555,103,19,357,22,7,5,0,2,0.2697,0,0,1,0,-1.6762140000000003,
,Bayer Leverkusen,34,1.88283,0.350997,1.88283,0.350997,197,36,461,20,14,2,1,0,2.5559000000000003,1,0,0,3,1.531833,

120,Hoffenheim,1,0.634831,1.8214,0.634831,1.8214,116,18,378,33,4,4,0,1,0.4674,0,0,1,0,-1.186569,
,Hoffenheim,2,1.05096,0.841426,1.05096,0.841426,252,24,314,19,4,3,3,2,1.5381,1,0,0,3,0.2095339999999999,
,Hoffenheim,3,0.450548,0.936475,0.450548,0.936475,375,18,100,13,1,8,0,0,0.8543000000000001,0,1,0,1,-0.48592699999999994,
,Hoffenheim,4,1.10385,1.78643,1.10385,1.78643,128,19,350,16,11,5,0,3,0.8989,0,0,1,0,-0.68258,
,Hoffenheim,5,0.743288,0.941782,0.743288,0.941782,294,29,282,28,8,6,1,1,1.1487,0,1,0,1,-0.19849400000000006,
,Hoffenheim,6,1.30868,2.83647,1.30868,2.83647,278,21,270,26,5,6,0,3,0.4687,0,0,1,0,-1.5277899999999998,
,Hoffenheim,7,0.723738,1.77327,0.723738,1.77327,408,19,238,29,3,11,2,1,0.6098999999999999,1,0,0,3,-1.049532,
,Hoffenheim,8,0.973105,0.859284,0.973105,0.859284,251,29,206,34,1,14,2,0,1.4748999999999999,1,0,0,3,0.11382099999999995,
,Hoffenheim,9,2.93074,2.37055,2.93074,2.37055,193,17,332,34,4,7,3,2,1.7597,1,0,0,3,0.56019,
,Hoffenheim,10,1.89547,0.464343,1.89547,0.464343,319,16,637,14,7,2,3,0,2.4619999999999997,1,0,0,3,1.431127,
,Hoffenheim,11,1.6191,0.638731,0.861327,0.638731,210,21,308,35,8,12,2,1,2.225,1,0,0,3,0.2225959999999999,
,Hoffenheim,12,2.15404,2.10482,2.15404,2.10482,155,17,308,27,9,4,1,5,1.4167999999999998,0,0,1,0,0.04922000000000004,
,Hoffenheim,13,2.69182,0.884323,2.69182,0.884323,297,20,316,28,6,3,1,1,2.5921,0,1,0,1,1.807497,
,Hoffenheim,14,1.28019,3.5887,1.28019,2.83093,237,24,402,38,8,5,1,3,0.2263,0,0,1,0,-1.55074,
,Hoffenheim,15,1.75727,2.22713,1.75727,1.46936,88,15,440,14,12,5,2,4,0.9859,0,0,1,0,0.2879100000000001,
,Hoffenheim,16,0.819222,1.53884,0.819222,1.53884,182,13,197,23,1,5,2,0,0.7846,1,0,0,3,-0.719618,
,Hoffenheim,17,1.33628,2.04502,1.33628,2.04502,306,25,362,19,3,18,2,1,0.8137000000000001,1,0,0,3,-0.7087400000000001,
,Hoffenheim,18,1.00395,1.83811,1.00395,1.83811,166,21,399,30,6,4,1,2,0.729,0,0,1,0,-0.83416,
,Hoffenheim,19,1.16702,0.908592,1.16702,0.908592,253,21,264,31,5,7,3,0,1.5665,1,0,0,3,0.258428,
,Hoffenheim,20,2.58436,3.11718,2.58436,3.11718,309,27,132,25,7,12,2,1,1.0522,1,0,0,3,-0.5328199999999996,
